scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,projected_rmse,mcse_projected_rmse,outside_parameter_space,empirical_standard_deviation,average_standard_error,standard_error_ratio,coverage,mcse_coverage,coverage_low,coverage_high,average_interval_length,average_projected_interval_length
linear,100,8,800,2,nonprivate,direct_low,400,0.001316964731,0.002755852179,0.05506385536,0.002101758772,0.05506385536,0.002101758772,0,0.05511704358,0.05657933923,1.026530735,0.9425,0.01163977556,0.9151991623,0.9613824572,0.224531368,0.224531368
linear,100,8,800,2,nonprivate,spillover_control,400,-0.004582707214,0.004335385556,0.086720429,0.003041401422,0.08672042901,0.003041401423,0,0.08670771113,0.0881778573,1.016955195,0.95,0.01089724736,0.9240363649,0.9674025702,0.3499279984,0.3499279984
linear,100,8,800,2,nonprivate,spillover_treated,400,-0.004768953183,0.00579906711,0.1159344016,0.004109346733,0.1159344016,0.004109346733,0,0.1159813422,0.1214986079,1.047570286,0.96,0.009797958971,0.9360177523,0.9752309369,0.4821591946,0.4821591946
linear,100,8,800,2,one_bit,direct_high,400,0.002906620948,0.005195503837,0.1038208035,0.003594377304,0.1038208035,0.003594377304,0,0.1039100768,0.1028326776,0.9896314273,0.9525,0.01063528914,0.9270084506,0.969382923,0.408084684,0.408084684
linear,100,8,800,2,one_bit,direct_low,400,0.001928721922,0.004735056322,0.09460233907,0.003603379715,0.09460233907,0.003603379715,0,0.09470112643,0.09881591616,1.043450272,0.945,0.01139901312,0.9181325522,0.9634015059,0.3921444318,0.3921444318
linear,100,8,800,2,one_bit,spillover_control,400,-0.01007450451,0.005954293773,0.1193628408,0.00433936298,0.1193628408,0.00433936298,0,0.1190858755,0.1185974958,0.9958989285,0.945,0.01139901312,0.9181325522,0.9634015059,0.470646323,0.470646323
linear,100,8,800,2,one_bit,spillover_treated,400,-0.009096605486,0.007172447939,0.1435580301,0.004852645364,0.1435580301,0.004852645364,0,0.1434489588,0.1459632654,1.017527535,0.9625,0.009499177596,0.9390561576,0.9771449702,0.5792455711,0.5792455711
linear,200,8,1600,0.5,laplace,direct_high,400,-0.006449060197,0.01303492448,0.2604522673,0.009620560516,0.2604522673,0.009620560516,0,0.2606984895,0.2502783284,0.9600298368,0.935,0.01232629304,0.9064647858,0.9552595181,0.987075975,0.9736320677
linear,200,8,1600,0.5,laplace,direct_low,400,0.01204776973,0.01249467324,0.2498715184,0.008983520954,0.2498715184,0.008983520954,0,0.2498934649,0.2520798698,1.008749348,0.95,0.01089724736,0.9240363649,0.9674025702,0.9941810979,0.9811753245
linear,200,8,1600,0.5,laplace,spillover_control,400,0.003125067298,0.01273674501,0.2544354745,0.009613831761,0.2541196301,0.009508346912,0.0025,0.2547349001,0.254623034,0.999560853,0.955,0.01036520622,0.9299952708,0.9713485413,1.004211117,0.9911141819
